Symbol,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
ANET,1596532.0,40526725000.0,1381614000.0,45.32,1.098,14.35,0.0,0.0,2.91,12.81,0.296,0.337,0.143,0.282,3930217000.0,1880779000.0,2.91,0.614,0.572,158.96,45.32,23.81,9.67,9.13,9.44,26.85,1.28,143.57,89.11,124.4,115.53,307300000.0
ANF,1018840.0,1495042000.0,222600000.0,76.28,-24.52,13.19,0.0,0.069,0.4,70.45,0.0082,0.024,0.0189,0.0477,3659290000.0,2311995000.0,0.4,-0.126,-0.028,27.8,76.28,12.56,0.292,1.76,0.573,8.72,1.391,42.09,14.02,25.17,21.42,49001700.0
AON,315293.0,64421659000.0,3924000000.0,25.84,1.772,-2.575,2.19,0.0071,12.14,58.95,0.207,0.293,0.0708,0.726,12479000000.0,5993000000.0,12.14,-0.195,0.016,325.53,25.84,21.37,5.05,89.18,5.92,17.76,0.878,339.47,244.83,309.14,288.07,205400000.0
APD,2969.0,62856155000.0,3914800000.0,27.94,1.918,62.75,4.86,0.0246,10.13,57.99,0.176,0.201,0.0584,0.158,12879100000.0,3360100000.0,10.13,0.021,0.06,334.68,27.94,27.55,5.53,5.31,5.89,17.72,0.845,326.85,210.83,310.6,264.03,222083000.0
APE,1411579.0,5728796000.0,115500000.0,-4.99,0.0,0.0,7.92,-0.201,-0.0682,-0.0172,0.0,4092200000.0,-132300000.0,0.0,0.0,0.269,1.134,3.46,-321.02,2.021,10.5,0.65,1.394,2.432,519521000.0,,,,,,,
APG,1796209.0,5216126000.0,483000000.0,12.39,0.0,0.0,-0.689,25.84,0.0111,0.0352,0.0206,0.0252,5967000000.0,939000000.0,-0.689,-0.304,0.657,22.89,11.93,0.732,2.094,1.326,16.56,1.482,22.94,13.09,19.55,17.2,233907000.0,,,
APO,1858681.0,43182002000.0,10.57,1.37,-2.338,1.6,0.0226,6.81,14.38,-0.494,-0.982,-0.0366,-0.777,7193508000.0,5812508000.0,6.81,-0.964,1.826,75.19,10.57,9.95,5.2,9.74,5.49,13.12,1.73,74.33,45.34,66.15,57.46,600000000.0,
ARDX,1437402.0,611611000.0,-114611000.0,-0.08,0.357,0.0,0.0,-1.361,0.065,0.0,-12.74,-0.455,-1.539,9009000.0,4981000.0,-1.361,0.0,3.251,6.87,39.54,5.52,35.06,-2.879,1.169,3.43,0.49,2.45,1.348,198575000.0,,,
ARE,1035443.0,29042268000.0,1554830000.0,52.76,844.2,108.33,4.66,0.0296,3.18,16.02,0.201,0.242,0.0119,0.0322,2589607000.0,1806454000.0,3.18,-0.335,0.156,176.6,52.76,17.24,9.87,1.425,14.23,20.13,0.947,201.73,125.67,152.03,153.12,173087000.0
ASML,937966.0,275515736000.0,7084300000.0,43.1,1.703,22.31,5.8,0.0147,15.41,53.24,0.266,0.307,0.122,0.594,21173400000.0,10700100000.0,15.41,0.049,0.29,754.94,43.1,30.49,12.43,29.61,12.62,35.86,1.232,706.24,362.22,612.16,535.07,403138000.0
ATTO,1606457.0,58724000.0,23951000.0,7.94,-11.32,0.0,0.0,-10.19,96.54,-0.0917,-0.0191,-0.0158,-1.65,1394502000.0,236700000.0,-10.19,-0.517,-0.059,9.5,4.815,0.0476,13.72,0.513,8.94,1.618,32.0,2.4,5.24,7.95,14499700.0,,
ATVI,718877.0,56020300000.0,2175000000.0,33.61,3.799,24.03,0.47,0.0062,2.13,9.43,0.228,0.281,0.0522,0.0936,7357000000.0,6486000000.0,2.13,-0.329,-0.139,91.74,33.61,20.12,8.12,3.206,7.23,22.05,0.419,81.52,70.94,75.82,76.48,782625000.0
AUY,1264089.0,5468113000.0,949100000.0,21.07,6.99,4.576,0.12,0.0195,0.27,1.929,0.14,0.263,0.0365,0.0483,1853600000.0,1120400000.0,0.27,-0.285,-0.066,6.22,21.07,21.69,2.805,1.204,2.99,5.98,1.308,6.28,3.833,5.75,5.09,961004000.0
AVGO,1730168.0,251274854000.0,19270001000.0,22.72,0.859,54.33,16.9,0.0308,26.47,81.18,0.346,0.43,0.12,0.482,33202999000.0,24947000000.0,26.47,0.613,0.206,655.64,22.72,13.44,6.81,9.71,7.46,12.93,1.121,629.48,411.63,562.87,526.26,417886000.0
AVGR,1506928.0,10409900.0,-16396000.0,0.0,0.665,0.0,0.0,-5.6,1.564,-2.125,-1.924,-0.338,-2.233,8675000.0,3424000.0,-5.6,0.0,-0.048,6.0,1.012,1.834,0.904,-0.478,1.635,6.99,0.94,1.235,1.466,7435600.0,,,
AVYA,1418100.0,33340600.0,247000000.0,-10.69,0.0,0.0,-0.259,32.39,-0.531,0.0137,0.0046,-0.0364,2766000000.0,1823000000.0,-0.259,-0.867,-0.212,0.63,2.233,0.0162,0.135,1.055,-2.731,1.377,16.88,0.121,0.531,2.373,86847000.0,,,
AWH,926617.0,67904000.0,-35851000.0,0.0,0.09,0.0,0.0,-0.312,0.069,0.0,-4.581,-0.627,-1.249,7882000.0,3062000.0,-0.312,0.0,0.244,2.0,5.55,4.062,3.552,-0.781,2.792,1.29,0.28,0.402,0.547,124595000.0,,,
AXON,1069183.0,13974394000.0,67091000.0,135.42,2.86,17.3,0.0,0.0,1.45,15.17,0.0975,0.0407,0.0149,0.0891,1071371000.0,540910000.0,1.45,-0.746,0.344,196.08,135.42,63.29,11.2,10.03,11.19,178.67,0.806,204.99,82.49,179.46,132.31,71165000.0
AXP,4962.0,131124634000.0,17.92,1.15,33.65,2.08,0.0116,9.85,67.48,0.148,0.189,0.0361,0.319,50680001000.0,26170000000.0,9.85,-0.053,0.087,183.75,17.92,13.85,2.321,4.81,1.193,196.81,130.2,154.95,153.44,743000000.0,,,
AXSM,1579428.0,2920629000.0,-149050656.0,0.0,3.624,0.0,0.0,-3.72,0.654,0.0,-5.91,-0.416,-1.598,25665600.0,0.0,-3.72,0.0,0.0,109.53,134.76,20.66,121.47,-20.98,1.948,82.0,20.63,71.94,50.16,43426200.0,,,
AZN,901832.0,201730081000.0,13648000000.0,98.86,1.376,11.35,2.9,0.0228,0.64,14.58,0.0452,0.226,0.0632,0.0545,45155000000.0,27610000000.0,0.64,-0.451,0.113,76.71,98.86,18.42,4.651,6.21,5.34,28.11,0.231,72.12,52.65,68.11,64.1,3099600000.0
