Symbol,CIK,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
CCI,1051470.0,63121072000.0,4168000000.0,37.76,3.352,17.2,5.97,0.042,3.86,16.13,0.24,0.352,0.0395,0.213,6986000000.0,4918000000.0,3.86,0.163,0.067,155.69,37.76,35.97,8.69,7.88,12.82,22.23,0.628,194.36,120.4,142.2,158.75,433048000.0
CCZ,1166691.0,53045105000.0,47.78,0.0,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,47.78,66.16,51.13,54.01,58.63,0.0,,,,,,,,,,
CDNS,813672.0,50998088000.0,1199835000.0,63.23,2.072,9.87,0.0,0.0,2.94,12.63,0.229,0.31,0.145,0.294,3434877000.0,2681238000.0,2.94,0.079,0.202,193.56,63.23,35.21,12.96,16.76,13.15,38.57,1.099,194.97,132.32,169.61,162.91,274316000.0
CEIX,1710366.0,2033700000.0,715630000.0,5.4,26.28,1.05,0.0744,10.8,58.2,0.194,0.243,0.115,0.559,2020553000.0,422536000.0,10.8,28.5,0.805,79.67,5.4,6.64,1.232,2.605,1.293,3.343,1.935,78.5,25.95,65.25,60.9,34871400.0,
CELH,1341766.0,7580596000.0,-120646296.0,397.8,0.0,0.78,0.0,0.0,0.25,7.71,-0.266,-0.211,-0.0941,-0.285,579895000.0,128169000.0,0.25,11.0,0.983,119.9,397.8,111.11,14.08,148.79,15.66,-75.41,1.899,122.24,38.31,105.53,87.42,76225000.0
CF,1324404.0,16870291000.0,6448000000.0,5.62,0.644,22.47,1.4,0.0188,15.3,53.52,0.287,0.5,0.277,0.596,11118000000.0,2387000000.0,15.3,3.895,0.704,110.63,5.62,6.36,1.668,4.106,1.736,3.102,1.077,119.16,66.17,91.28,96.62,196189000.0
CFRX,1478069.0,2878700.0,-64113000.0,0.0,-0.079,0.0,0.0,-0.895,0.0,0.0,0.0,-0.796,-2.393,0.0,-1606434.0,-0.895,0.0,0.0,5.0,0.441,0.163,0.335,4.54,0.059,0.107,1.095,43682700.0,,,,,
CG,1527166.0,13127959000.0,2784800000.0,7.55,7.58,16.84,1.225,0.0348,4.78,15.9,0.305,0.467,0.0797,0.306,5718400000.0,4750000000.0,4.78,-0.473,-0.336,41.73,7.55,7.36,1.848,1.802,2.157,8.6,1.705,49.66,24.32,31.68,32.61,363605000.0
CGC,1737927.0,1448659000.0,-410145984.0,3.384,0.0,0.0,-0.594,1.16,0.0,-1.069,-0.0649,-1.008,480720000.0,-81938000.0,-0.594,0.0,-0.103,5.22,2.655,1.167,3.425,-0.589,2.253,9.61,2.09,2.854,3.466,485933000.0,,,,
CHGG,1364954.0,2638781000.0,121533000.0,13.93,0.991,8.34,0.0,0.0,1.51,5.84,0.376,0.0478,0.0082,0.241,769171000.0,521361000.0,1.51,25.83,-0.042,27.51,13.93,19.8,4.506,3.445,5.02,17.68,1.029,37.64,15.66,25.16,22.24,125477000.0
CHPT,1777393.0,4226631000.0,-312844992.0,0.991,0.0,0.0,-1.086,1.176,-0.828,-0.856,-0.222,-0.707,394608000.0,53533000.0,-1.086,0.0,0.927,20.97,9.23,10.75,9.02,-11.84,1.652,20.99,8.07,10.83,13.22,341684000.0,,,,
CHTR,1091667.0,62022103000.0,21400001000.0,12.96,0.3,59.74,0.0,0.0,31.35,334.5,0.0936,0.231,0.0544,0.381,54022001000.0,24485000000.0,31.35,-0.139,0.035,481.4,12.96,9.92,0.911,6.6,2.999,7.57,1.111,615.6,297.66,370.35,409.66,152651000.0
CHWY,1766502.0,20629748000.0,34316000.0,0.388,0.0,0.0,-0.231,23.23,-0.0021,-0.0024,-0.0062,-0.178,9779858000.0,2373582000.0,-0.231,-0.556,0.145,48.23,625.0,1.772,112.71,1.87,336.11,0.703,54.19,22.22,41.85,37.24,112160000.0,,,
CI,1739940.0,89456173000.0,9932000000.0,14.05,1.217,147.58,4.36,0.0143,20.83,569.52,0.0367,0.045,0.034,0.144,180025999000.0,23159000000.0,20.83,0.869,0.019,359.13,14.05,13.51,0.563,2.272,0.705,0.704,340.11,214.96,319.96,289.93,305739000.0,
CIH,1749797.0,84828000.0,218636000.0,2.606,1.333,0.0,0.0,0.36,5.53,0.346,0.434,0.269,2.607,500178000.0,510835000.0,0.36,-0.622,-0.393,2.606,0.144,4.167,0.0398,0.0815,0.717,1.3,0.61,0.881,0.834,90425000.0,,,
CL,21665.0,61680554000.0,4161000000.0,34.67,3.742,0.482,1.86,0.0253,2.13,21.48,0.0994,0.201,0.147,2.214,17967000000.0,10248000000.0,2.13,-0.964,0.051,79.73,34.67,25.13,3.666,106.54,4.147,20.7,0.482,82.74,66.97,77.2,76.92,835214000.0
CLFD,796505.0,969055000.0,67230000.0,18.1,0.0,10.68,0.0,0.0,3.52,19.67,0.182,0.236,0.225,0.393,270883000.0,112947000.0,3.52,1.307,1.101,109.8,18.1,30.67,5.63,10.88,5.98,23.98,1.44,134.9,48.91,93.61,88.0,15212800.0
CLS,1030894.0,1658345000.0,414800000.0,11.56,19.42,13.8,0.0,0.0,1.17,58.7,0.0201,0.0372,0.0328,0.0927,7250000000.0,636300000.0,1.17,0.381,0.351,14.79,11.56,5.44,0.206,0.858,0.265,4.756,2.307,14.28,8.21,11.83,10.67,103507000.0
CLX,21076.0,18846210000.0,911000000.0,43.34,2.04,2.6,5.88,0.0305,3.52,57.29,0.0616,0.0978,0.0706,0.906,7065000000.0,2545000000.0,3.52,0.429,0.014,138.68,43.34,35.59,2.565,56.11,3.014,24.51,0.312,157.77,117.54,145.27,142.97,123525000.0
CMA,28412.0,9861815000.0,8.89,0.316,36.55,2.72,0.0366,8.47,26.5,0.331,0.434,0.0128,0.176,3474000000.0,3474000000.0,8.47,0.534,0.274,81.35,8.89,6.94,2.557,1.847,1.195,98.53,62.83,68.52,74.73,130967000.0,,,
CMC,22444.0,6551860000.0,1583841000.0,5.46,12.25,30.56,0.58,0.0113,10.25,76.53,0.136,0.153,0.159,0.411,9158993000.0,1856396000.0,10.25,0.158,0.124,55.94,5.46,8.26,0.625,1.713,0.725,3.71,1.281,58.09,31.27,50.91,42.62,117123000.0
CME,1156375.0,62866063000.0,3305100000.0,23.84,4.693,78.72,3.9,0.0484,7.33,13.8,0.541,0.594,0.0101,0.0965,4948000000.0,4679300000.0,7.33,-0.275,0.107,200.82,23.84,21.83,12.54,2.277,13.22,16.41,0.405,245.26,161.33,174.54,189.16,359725000.0
CMG,1058090.0,46930989000.0,1326910000.0,58.76,1.208,83.87,0.0,0.0,28.81,300.96,0.0961,0.124,0.0974,0.349,8414686000.0,2904063000.0,28.81,0.281,0.137,1772.83,58.76,35.46,4.901,18.18,5.38,34.25,1.255,1754.56,1196.28,1513.74,1480.46,27721100.0
CMI,26172.0,35382419000.0,3199000000.0,18.68,1.566,59.42,5.92,0.025,13.43,184.41,0.0732,0.0953,0.059,0.208,26154000000.0,5695000000.0,13.43,-0.236,0.229,258.27,18.68,12.29,1.272,4.07,1.519,11.68,1.04,258.27,181.87,244.79,221.69,141022000.0
CNC,1071739.0,40210121000.0,6576000000.0,21.07,0.98,44.52,0.0,0.0,3.37,229.42,0.0151,0.0377,0.0395,0.0771,133307998000.0,19574000000.0,3.37,0.283,0.132,98.83,21.07,13.07,0.341,1.852,0.363,10.65,0.588,98.53,70.6,80.09,83.59,566260000.0
CNHI,1567094.0,21511680000.0,3388667000.0,10.74,31.71,5.15,0.38,0.0183,1.49,17.43,0.0862,0.121,0.0401,0.295,23551001000.0,5206000000.0,1.49,0.955,-0.235,19.81,10.74,10.46,0.594,3.432,1.105,9.6,1.704,17.98,10.6,16.5,13.84,1344480000.0
CNS,1284812.0,3638361000.0,221465000.0,21.53,44.87,6.48,2.2,0.0295,3.47,11.62,0.302,0.381,0.32,0.405,566906000.0,275147000.0,3.47,-0.495,-0.215,71.0,21.53,20.0,5.24,10.31,5.17,11.69,1.331,86.16,51.89,68.43,69.12,48706300.0
COIN,1679788.0,19535120000.0,100781000.0,7.63,1.53,24.83,0.0,0.0,9.78,23.01,-0.243,-0.0071,-0.0004,-0.224,5042005000.0,7837303000.0,9.78,3.27,-0.561,0.59,7.63,60.24,2.088,1.623,1.429,-5.33,217.49,31.55,45.2,64.6,141790000.0,
COP,1163165.0,131552707000.0,34886001000.0,7.38,0.447,39.22,4.49,0.0216,14.57,63.24,0.232,0.339,0.185,0.4,80574996000.0,39598000000.0,14.57,0.316,0.238,138.0,7.38,8.48,1.824,2.793,1.914,4.023,1.291,137.09,76.13,117.46,109.77,1223860000.0
COSM,1474167.0,56315000.0,-305081.0,0.0,3.314,0.0,0.0,-1.111,65.3,-0.0823,-0.0126,-0.0092,-0.914,54475000.0,8330500.0,-1.111,0.0,-0.116,1.083,16.62,1.501,-287.38,3.076,98.0,1.688,4.21,1.399,10605400.0,,,,
COST,909832.0,228782244000.0,9648000000.0,38.97,3.433,48.38,3.49,0.007,13.23,520.61,0.0255,0.0335,0.0743,0.293,231027999000.0,27572000000.0,13.23,0.03,0.081,553.47,38.97,33.56,0.891,10.39,0.919,26.33,0.78,608.06,404.37,486.51,498.07,443729000.0
COUP,1385867.0,6035750000.0,-144384000.0,3.714,3.729,0.0,0.0,-4.841,10.85,-0.412,-0.338,-0.0549,-0.53,818108000.0,412053000.0,-4.841,0.0,0.17,79.07,123.46,7.32,18.88,9.02,-54.91,1.151,140.91,40.3,74.45,66.66,75541000.0,,
CPB,16732.0,15236933000.0,1598000000.0,19.06,3.304,11.6,1.48,0.0294,2.67,29.64,0.0891,0.141,0.0651,0.236,8901000000.0,2632000000.0,2.67,0.151,0.152,52.39,19.06,19.57,1.937,4.86,2.424,13.74,0.379,57.39,40.48,54.47,50.23,299468000.0
CPNG,1834584.0,29227653000.0,-361849984.0,1.228,0.0,0.0,-0.83,11.55,-0.0295,-0.0291,-0.0442,-0.253,20332534000.0,3109128000.0,-0.83,0.0,0.098,23.77,123.46,1.418,14.09,1.468,-89.42,27.12,8.98,17.04,16.18,1595500000.0,,,,
CPRI,1530721.0,8514505000.0,1198000000.0,10.91,1.132,16.35,0.0,0.0,6.06,40.95,0.141,0.173,0.0864,0.35,5873000000.0,3728000000.0,6.06,0.254,0.086,67.17,10.91,7.98,1.277,3.533,1.828,8.93,2.23,72.37,36.9,60.13,49.7,128793000.0
CR,25445.0,6698588000.0,650800000.0,16.62,1.186,33.98,1.88,0.0161,7.18,59.84,0.122,0.158,0.0748,0.219,3374900000.0,1339800000.0,7.18,0.538,0.07,134.8,16.62,12.41,1.754,3.386,2.099,9.64,1.494,120.55,81.38,105.57,98.05,56144000.0
CRBP,1595097.0,21648600.0,-33250704.0,0.0,0.335,0.0,0.0,-0.312,0.0,0.0,0.0,-0.22,-0.698,0.0,-35563580.0,-0.312,0.0,-1.0,3.0,163.32,0.37,8.26,0.776,2.137,0.624,0.1,0.133,0.206,125281000.0,,,
CRON,1656472.0,943944000.0,-110447000.0,3.156,0.0,0.0,-0.725,0.252,-2.357,-1.324,-0.0566,-0.169,94812000.0,-17534000.0,-0.725,0.144,0.025,4.19,11.22,0.897,1.856,-0.57,1.374,4.31,2.39,2.705,2.95,379094000.0,,,,
CROX,1334036.0,7330972000.0,907934000.0,12.67,-31.83,10.22,0.0,0.0,9.37,52.86,0.174,0.273,0.174,1.133,3196449000.0,1420220000.0,9.37,0.124,0.574,133.89,12.67,8.86,1.785,9.47,2.73,10.57,1.918,131.18,46.08,109.06,78.54,61745000.0
CRUS,772406.0,5636554000.0,490617000.0,16.54,6.42,29.85,0.0,0.0,6.19,34.89,0.178,0.214,0.12,0.225,1972534000.0,923641000.0,6.19,0.063,0.16,103.13,16.54,12.85,2.16,2.614,2.085,8.33,0.991,107.2,61.94,80.79,77.1,55061000.0
CRWD,1535527.0,25647391000.0,-78354000.0,1.339,5.61,0.0,0.0,-0.792,8.78,-0.0873,-0.0717,-0.0235,-0.152,2034879000.0,1068373000.0,-0.792,0.0,0.528,167.51,54.64,13.25,20.52,12.42,-766.86,1.063,242.0,92.25,109.94,155.57,218282000.0,,
CS,1159510.0,14173446000.0,2.891,16.54,0.1,0.0274,-0.683,6.18,-0.496,-0.0214,-0.0106,-0.181,16091000000.0,17065000000.0,-0.683,-0.248,-0.326,4.22,9.47,0.752,0.27,1.26,9.94,2.98,3.346,4.951,3961560000.0,,,,,
CSCO,858877.0,195422323000.0,15862000000.0,17.17,2.35,9.81,1.51,0.0313,2.77,12.62,0.22,0.27,0.0933,0.277,52288999000.0,32248000000.0,2.77,-0.071,0.057,54.79,17.17,13.89,3.783,5.03,3.665,11.61,0.955,55.82,38.3,48.24,45.68,4108100000.0
CSIQ,1375877.0,2606100000.0,660450000.0,15.24,0.29,27.68,0.0,0.0,2.66,109.66,0.0268,0.043,0.0234,0.115,7025733000.0,926464000.0,2.66,1.154,0.572,41.42,15.24,5.64,0.319,1.267,0.735,13.63,1.355,47.69,22.15,36.69,34.87,64269000.0
CTLT,1596783.0,12103478000.0,1111000000.0,27.91,1.177,26.11,0.0,0.0,2.41,27.07,0.0883,0.148,0.0438,0.0938,4825000000.0,1640000000.0,2.41,0.051,-0.003,69.33,27.91,13.19,1.65,1.771,2.528,11.84,1.262,115.33,40.69,47.79,79.91,179964000.0
CTVA,1755672.0,43304534000.0,3151000000.0,36.57,1.315,35.47,0.59,0.0097,1.66,24.22,0.0657,0.111,0.0284,0.0475,17455000000.0,7019000000.0,1.66,0.015,0.099,72.8,36.57,20.41,2.515,1.812,2.662,14.41,0.791,68.28,48.52,62.15,60.14,713419000.0
CULP,723603.0,65403000.0,-12816000.0,15.65,1.221,8.31,0.23,0.0886,0.34,21.1,-0.0937,-0.0788,-0.0685,-0.21,258216000.0,36093000.0,0.34,-0.634,-0.217,8.0,15.65,20.75,0.213,0.566,0.168,-3.254,1.256,8.77,3.95,5.02,5.04,12293800.0
CVGI,1290900.0,283345000.0,53568000.0,21.77,0.366,4.421,0.0,0.0,0.39,29.89,0.013,0.0362,0.0421,0.0987,975540000.0,120187000.0,0.39,-0.524,0.049,11.0,21.77,8.06,0.23,1.664,0.388,8.44,3.069,9.11,4.03,7.1,6.39,33374000.0
CVNA,1690820.0,2365632000.0,-917000000.0,-0.13,2.587,0.0,0.0,-4.184,151.12,-0.0599,-0.0778,-0.0942,-3.022,14520001000.0,1931000000.0,-4.184,0.0,-0.027,11.25,0.0646,2.034,0.573,-8.05,2.437,163.18,3.55,6.5,24.34,84500000.0,,,
CVS,64803.0,112698900000.0,19101000000.0,11.8,1.359,53.75,2.15,0.0282,2.353,239.0,0.01,0.047,0.0397,4.349,314342998000.0,50849000000.0,2.37,0.062,0.101,116.26,36.19,11.39,0.408,1.872,0.582,17.07,0.683,107.1,84.82,93.98,96.33,1313970000.0
CVX,93410.0,328022688000.0,55955001000.0,9.28,2.575,82.06,5.68,0.0356,18.28,122.04,0.15,0.168,0.0924,0.238,235717001000.0,90301000000.0,18.28,0.265,0.189,193.96,9.28,10.38,1.457,2.047,1.467,5.2,1.156,188.22,127.3,176.11,165.23,1933640000.0
CZR,1590895.0,11798985000.0,2687000000.0,1.16,17.85,0.0,0.0,-6.01,49.67,-0.112,0.141,0.0257,-0.182,10592000000.0,4924000000.0,-6.01,0.0,0.075,67.69,23.53,0.978,2.778,2.138,9.17,2.859,89.8,31.31,47.93,46.49,214566000.0,,
DAKT,915779.0,183227000.0,5838000.0,403.0,1.33,3.813,0.0,0.0448,0.01,14.63,-0.036,-0.0151,-0.0142,-0.127,661120000.0,116697000.0,0.01,-0.343,0.14,5.5,403.0,0.166,0.601,0.186,25.21,1.012,4.82,1.46,3.112,3.274,45465700.0,
DAL,27904.0,25378220000.0,5901000000.0,19.4,23.16,10.12,0.0,0.0698,2.04,79.28,0.0261,0.0757,0.0331,0.255,50582000000.0,9651000000.0,2.04,-0.429,0.419,50.94,19.4,93.46,0.457,4.722,0.947,30.34,1.222,46.27,27.2,35.84,34.42,641188000.0
DASH,1792789.0,23168791000.0,-652000000.0,17.58,0.0,0.0,-1.534,16.81,-0.145,-0.136,-0.065,-0.153,6065000000.0,2616000000.0,-1.534,0.0,0.334,71.67,1666.67,3.537,3.328,3.199,-33.23,1.343,130.2,41.37,54.12,61.96,360078000.0,,,
DB,1159508.0,25266317000.0,7.06,0.122,33.89,0.2,0.0172,1.73,12.3,0.15,0.257,0.0028,0.0586,25677001000.0,25025000000.0,1.73,1.231,-0.011,10.54,7.06,5.72,0.825,0.299,1.427,16.35,7.25,11.76,9.87,2038000000.0,,,
DBX,1467623.0,8502532000.0,517200000.0,25.48,2.291,-1.666,0.0,0.0,0.92,6.22,0.152,0.157,0.0742,0.168,2291600000.0,1713700000.0,0.92,0.211,0.074,26.75,25.48,12.94,3.664,29.81,4.723,23.29,0.815,25.8,19.07,22.82,22.06,280412000.0
DCP,1338065.0,8673483000.0,1166000000.0,8.29,6.76,26.87,1.64,0.0413,5.02,74.91,0.0708,0.0516,0.0365,0.184,15612000000.0,1439000000.0,5.02,7.32,0.44,41.1,8.29,6.74,0.508,1.281,0.84,7.35,2.367,41.72,25.56,40.03,36.66,208397000.0
DD,1666700.0,35947651000.0,4264000000.0,22.83,1.638,50.15,1.29,0.0178,3.17,33.94,0.107,0.164,0.0392,0.0652,17245999000.0,5850000000.0,3.17,-0.026,0.037,91.78,22.83,19.08,1.953,1.389,2.59,11.13,1.252,82.45,49.28,71.27,62.69,496789000.0
DDOG,1561550.0,25233318000.0,9851000.0,7950.0,1.227,4.061,0.0,0.0,0.01,4.878,-0.0091,-0.0102,-0.0039,-0.0124,1531899000.0,794884000.0,0.01,0.0,0.614,106.62,7950.0,69.44,16.23,19.82,16.08,522.64,1.02,184.7,61.34,73.4,90.8,292050000.0
DDS,28917.0,7058199000.0,1390838000.0,8.22,-1.28,93.98,0.8,0.002,50.17,385.95,0.132,0.171,0.199,0.582,6987129000.0,2876602000.0,50.17,0.117,0.04,265.0,8.22,21.55,0.761,3.35,0.753,3.743,0.889,417.86,183.89,351.21,302.49,13138700.0
DE,315189.0,121902719000.0,10804000000.0,17.62,1.477,67.82,4.36,0.0118,23.28,172.62,0.136,0.188,0.0707,0.368,52563001000.0,14486000000.0,23.28,0.803,0.372,463.26,17.62,15.87,2.467,6.53,3.399,16.21,1.062,447.15,282.09,429.65,374.86,297157000.0
DELL,1571996.0,29468668000.0,9060000000.0,17.66,1.15,-4.831,0.99,0.0311,2.33,141.19,0.0174,0.0588,0.035,0.33,105254003000.0,21891000000.0,2.33,-0.932,-0.064,49.51,17.66,6.81,0.268,4.39,0.504,8.16,0.987,59.58,32.32,41.32,42.4,242298000.0
DEO,835403.0,98667364000.0,5719000000.0,22.67,2.251,14.32,0.776,0.0204,7.69,29.55,0.212,0.314,0.0922,0.381,16915000000.0,9479000000.0,7.69,0.198,0.184,199.03,22.67,22.08,6.71,11.21,7.91,21.37,0.41,209.72,160.09,181.85,179.78,565883000.0
DG,29534.0,51051114000.0,3893282000.0,22.21,1.773,27.26,2.07,0.0093,10.28,159.46,0.0649,0.088,0.0727,0.383,36293403000.0,10813006000.0,10.28,0.12,0.111,265.5,22.21,19.61,1.521,8.92,1.942,18.11,0.369,261.01,182.02,241.52,241.69,223575000.0
DGX,1022079.0,16138290000.0,1962000000.0,18.24,1.237,53.09,2.64,0.0199,7.97,85.2,0.0957,0.154,0.0721,0.162,9883000000.0,3465000000.0,7.97,-0.721,-0.15,150.13,18.24,17.48,1.651,2.76,2.055,9.59,0.932,157.63,119.22,150.08,138.61,111000000.0
DHR,313616.0,196531765000.0,10910000000.0,27.93,3.236,66.47,1.0,0.0037,9.66,43.4,0.229,0.276,0.0648,0.151,31471000000.0,18949000000.0,9.66,0.25,0.027,302.8,27.93,25.91,6.29,4.327,6.78,19.93,0.796,303.24,233.03,266.55,264.82,728300000.0
DINO,1915657.0,10518305000.0,4093729000.0,4.785,0.146,44.7,0.8,0.0305,10.95,180.17,0.0659,0.104,0.145,0.298,34842579000.0,1615735000.0,10.95,1.609,1.262,64.73,4.785,5.67,0.295,1.085,0.346,3.132,1.374,66.19,28.48,53.79,51.77,200731000.0
DIS,1744489.0,202242818000.0,11995000000.0,62.9,0.756,52.09,0.0,0.0,1.76,45.4,0.038,0.0826,0.021,0.0337,82721997000.0,28321000000.0,1.76,0.016,0.087,125.32,62.9,22.73,1.995,1.807,2.559,17.64,1.233,157.5,84.07,96.64,102.54,1826780000.0
DKNG,1883685.0,7572066000.0,-1454907008.0,3.199,0.0,0.0,-4.052,4.363,-0.786,-0.865,-0.238,-0.896,1858653000.0,501863000.0,-4.052,0.0,1.359,20.33,3.05,4.366,3.344,-4.157,1.798,25.01,9.77,13.63,14.39,448848000.0,,,,
DKS,1089063.0,11246373000.0,1959692000.0,11.89,58.87,29.51,1.9,0.0145,11.34,156.68,0.0952,0.134,0.12,0.47,12123645000.0,4711886000.0,11.34,-0.118,0.077,136.89,11.89,10.3,0.833,4.105,1.028,6.38,1.426,138.09,62.53,121.76,104.17,59841000.0
DLTR,935703.0,33157693000.0,2995000000.0,20.45,1.064,37.41,0.0,0.0,7.33,123.54,0.0584,0.0807,0.0631,0.208,27691600000.0,7746100000.0,7.33,0.25,0.081,164.0,20.45,19.01,1.159,3.916,1.528,14.31,0.696,177.19,124.76,146.14,152.89,221184000.0
DNA,1830214.0,4024742000.0,-3620873984.0,0.87,0.0,0.0,-1.672,0.33,0.0,-6.93,-1.137,-2.314,527915000.0,184147000.0,-1.672,0.0,-0.144,4.92,5.99,2.461,4.334,-0.63,6.3,1.45,1.786,2.607,1468100000.0,,,,,
DOCN,1582961.0,2868691000.0,65720000.0,1.871,0.314,0.0,0.0,-0.319,5.14,-0.0494,-0.0342,-0.0088,-0.0563,532986000.0,257966000.0,-0.319,0.0,0.365,36.17,25.06,5.09,93.63,6.52,42.42,66.28,23.38,27.75,37.12,96297000.0,,,
DOCS,1516513.0,7199051000.0,120917000.0,53.43,4.571,0.0,0.0,0.7,2.008,0.367,0.305,0.0774,0.171,384353000.0,303761000.0,0.7,-0.294,0.288,39.36,53.43,61.35,17.42,7.8,15.93,48.92,64.95,22.91,33.87,34.35,113526000.0,,
DOCU,1261333.0,12657609000.0,-12005000.0,1.536,2.33,0.0,0.0,-0.449,12.18,-0.0545,-0.0325,-0.0192,-0.375,2437167000.0,1648286000.0,-0.449,0.0,0.183,62.91,27.03,4.913,21.1,3.999,-316.26,0.995,131.91,39.57,54.18,61.04,201074000.0,,
DPZ,1286681.0,12730332000.0,796225000.0,29.12,2.55,-121.94,4.24,0.0122,12.35,125.12,0.1,0.165,0.272,0.0,4488140000.0,1208741000.0,12.35,-0.139,0.071,385.95,29.12,28.01,2.816,4.034,21.15,0.727,444.12,298.5,357.83,362.67,35399400.0,
DRI,940944.0,18230192000.0,1460700000.0,20.66,2.236,16.58,4.62,0.0328,7.25,80.42,0.091,0.11,0.0674,0.399,9984400000.0,1995000000.0,7.25,0.026,0.094,155.81,20.66,18.59,1.79,8.54,2.24,14.61,1.223,152.08,107.89,144.83,131.84,121705000.0
DSGR,703604.0,875217000.0,29900000.0,27.41,3.19,28.18,0.0,0.0,1.62,46.04,0.0,0.0,0.0545,0.0736,417733000.0,220603000.0,1.62,6.03,1.628,57.0,27.41,23.64,0.628,1.304,1.353,20.59,1.029,55.96,25.66,37.79,39.8,19712100.0
DTST,1419951.0,12078600.0,-179221.0,29.51,0.0,3.245,0.0,0.0,0.06,3.382,-0.0542,-0.0635,-0.0346,-0.057,22817300.0,6417100.0,0.06,6.08,0.145,8.0,29.51,0.517,0.545,0.123,-15.19,0.461,3.97,1.39,1.699,2.254,6822100.0,
DUOL,1562088.0,3980817000.0,-67256000.0,13.32,0.0,0.0,-1.97,8.71,-0.186,-0.207,-0.0658,-0.121,338685000.0,181586000.0,-1.97,0.0,0.511,107.88,8.7,5.17,6.46,-36.29,113.36,60.5,76.54,87.16,31279300.0,,,,,
DVN,1090012.0,39777640000.0,10381000000.0,6.39,0.48,16.62,4.66,0.0873,9.52,28.72,0.336,0.435,0.229,0.632,18784999000.0,7414000000.0,9.52,1.323,0.298,76.01,6.39,6.53,2.143,3.723,2.403,4.411,2.433,77.14,46.33,63.23,65.14,653700000.0
DWAC,1849635.0,593902000.0,0.0,-0.644,0.0,0.0,-0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.136,0.0,0.0,2.919,-63.33,101.87,14.16,18.22,26.38,30027200.0,,,,,,,,
DXCM,1093557.0,41225314000.0,416400000.0,237.18,11.34,4.724,0.0,0.0,0.45,7.17,0.0651,0.101,0.0365,0.0919,2792800000.0,1680500000.0,0.45,0.166,0.184,129.68,237.18,120.48,16.54,24.66,16.02,103.12,1.159,134.76,66.89,111.85,94.82,386258000.0
EA,712515.0,31193868000.0,2140000000.0,30.74,0.865,27.36,0.74,0.0068,3.65,26.39,0.141,0.228,0.0768,0.137,7377000000.0,5143000000.0,3.65,2.174,0.051,135.01,30.74,15.65,4.613,4.413,4.736,18.2,0.83,142.18,108.77,124.66,126.39,278045000.0
EBAY,1065088.0,27122096000.0,2932000000.0,2.702,2.221,8.92,0.84,0.0174,18.5,17.24,0.0028,0.25,0.064,-0.359,9898000000.0,7770000000.0,18.5,1.698,-0.048,47.35,2.702,10.42,2.319,4.892,2.883,-9.7,1.326,59.53,35.74,44.85,44.47,542659000.0
EFX,33185.0,27208059000.0,1691200000.0,38.65,1.909,30.71,1.56,0.007,5.75,42.34,0.137,0.219,0.0632,0.195,5177500000.0,2943000000.0,5.75,-0.193,0.017,209.17,38.65,24.45,4.678,6.43,5.76,18.05,1.448,242.33,145.69,205.44,193.71,122443000.0
EGBN,1050441.0,1522519000.0,11.06,1.72,39.19,1.75,0.0371,4.39,11.08,0.397,0.549,0.0123,0.109,354778000.0,354778000.0,4.39,0.015,-0.048,49.0,11.06,8.94,3.85,1.181,0.885,59.48,41.54,45.39,47.1,31346900.0,,,
EGO,918608.0,1690298000.0,312156000.0,10.65,17.2,0.0,0.0,-2.551,4.754,-0.494,0.119,0.014,-0.147,870448000.0,475733000.0,-2.551,-0.758,-0.087,10.96,21.69,1.715,0.479,1.958,-18.46,1.404,12.49,5.06,8.6,7.27,184730000.0,,
EHTH,1333493.0,212249000.0,-103360000.0,0.721,24.04,0.0,0.0,-6.02,16.6,-0.313,-0.239,-0.0612,-0.15,452549000.0,536207000.0,-6.02,-0.386,-0.165,6.9,8.35,0.29,0.184,0.709,-3.69,0.565,18.49,2.67,5.43,6.66,27422300.0,,
EML,31107.0,134930000.0,26671700.0,9.2,0.0,19.95,0.44,0.0202,2.36,43.26,0.0516,0.0713,0.0427,0.125,269816000.0,56766000.0,2.36,-0.181,0.121,9.2,0.48,1.103,0.787,7.87,1.01,25.02,17.02,21.59,20.84,6215100.0,,
EMR,32604.0,52657660000.0,4590000000.0,16.72,2.304,17.52,2.06,0.023,5.41,33.11,0.165,0.186,0.0755,0.246,19629001000.0,8188000000.0,5.41,0.117,0.083,101.8,16.72,23.92,2.826,5.49,3.353,12.3,1.372,99.65,71.99,94.13,87.13,582303000.0
