time,sentiment,weekly_sentiment,monthly_sentiment,open,high,low,close,adjusted_close,volume,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2023-02-12,-0.03297369782834747,0.13676542968971325,0.11236316630876966,,,,,,,,,,,,,,,,
2023-02-11,0.16840808949779898,0.15437117174823903,0.11802525306290697,,,,,,,,,,,,,,,,
2023-02-10,0.24030719856777571,0.14284481539309168,0.11737446428567132,261.53,264.09,260.662,263.1,263.1,25818489.0,243.99766666666667,243.99766666666667,240.7671588053298,253.0157915672956,267.56,222.31,267.56,213.648993440865,339.886189703787,213.648993440865
2023-02-09,0.13246731483018026,0.1126871198916903,0.1153489101580753,273.8,273.98,262.8,263.62,263.62,42375102.0,243.04533333333333,243.04533333333333,240.57449961635248,253.04146748887143,267.56,222.31,267.56,213.648993440865,339.886189703787,213.648993440865
2023-02-08,0.14095681280180042,0.11563558030310793,0.11519394162357859,273.2,276.76,266.21,266.73,266.73,54686049.0,242.15666666666667,242.15666666666667,240.3788342560125,253.11665778827484,267.56,222.31,267.56,213.648993440865,339.886189703787,213.648993440865
2023-02-07,0.22081648318481267,0.1247165689293893,0.11482848233597372,260.53,268.775,260.08,267.56,267.56,50841365.0,241.22333333333336,241.22333333333336,240.1584509426179,253.143093784091,267.56,222.31,267.56,213.648993440865,339.886189703787,213.648993440865
2023-02-06,0.08737580677397239,0.1146943060037043,0.11381221605164683,257.44,258.3,254.78,256.77,256.77,22517997.0,240.24433333333332,240.24433333333332,239.99797575595068,253.19903077816147,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-05,0.09026649658133289,0.12440077240159206,0.11334749122150542,257.44,258.3,254.78,256.77,256.77,22517997.0,240.24433333333332,240.24433333333332,239.99797575595068,253.19903077816147,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-04,0.08772359501176749,0.1368647947321993,0.11478141988359075,257.44,258.3,254.78,256.77,256.77,22517997.0,240.24433333333332,240.24433333333332,239.99797575595068,253.19903077816147,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-03,0.02920333005796595,0.14242234933892775,0.1164831147834824,259.542,264.2,257.1,258.35,258.35,29077256.0,239.833,239.833,239.9431070211625,253.33646394336932,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-02,0.15310653771010374,0.15364512937905692,0.12007037985390281,258.82,264.69,257.25,264.6,264.6,39940437.0,239.28133333333332,239.28133333333332,240.01862704921416,253.46073603805368,264.6,222.31,264.6,213.648993440865,339.886189703787,213.648993440865
2023-02-01,0.20452373318576994,0.14409171279760136,0.12060560363643584,248.0,255.18,245.47,252.75,252.75,31259912.0,238.47633333333332,238.47633333333332,240.009808510375,253.53003368264132,252.75,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-31,0.15066064270501775,0.12114082669506743,0.12251032764610838,243.45,247.95,242.945,247.81,247.81,26541072.0,238.20766666666665,238.20766666666665,240.0602565983252,253.65515666811456,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-30,0.1553210715591866,0.1225686772449494,0.12061010253655786,244.51,245.6,242.2,242.71,242.71,25867365.0,238.24766666666667,238.24766666666667,240.155816748484,253.8436435586617,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-29,0.17751465289558363,0.12372740078963948,0.12104719183413121,244.51,245.6,242.2,242.71,242.71,25867365.0,238.24766666666667,238.24766666666667,240.155816748484,253.8436435586617,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-28,0.1266264772588665,0.10172967925577635,0.12521919125304126,244.51,245.6,242.2,242.71,242.71,25867365.0,238.24766666666667,238.24766666666667,240.155816748484,253.8436435586617,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-27,0.10776279033887035,0.09453165277254698,0.12667545569538285,248.99,249.83,246.83,248.16,248.16,26498939.0,238.7313333333333,238.7313333333333,240.25411266861929,254.03003464533072,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-26,0.08623262163991466,0.08519637592136632,0.1279181467954373,243.65,248.31,242.0,248.0,248.0,33454491.0,239.02333333333337,239.02333333333337,240.3259297636236,254.20505820905197,249.01,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-25,0.04386753046803259,0.07862912919406108,0.12919250705796992,234.48,243.3,230.9,240.61,240.61,66526641.0,239.17366666666663,239.17366666666663,240.44262511447548,254.43900171223595,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-24,0.16065559655419154,0.08490901372057959,0.13230608994067858,242.5,243.95,240.44,242.04,242.04,40234444.0,239.334,239.334,240.643890450064,254.7317336213668,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-23,0.1634321363720171,0.08266927047171778,0.12618564237089674,241.1,245.165,239.65,242.58,242.58,31933951.0,239.51266666666663,239.51266666666663,240.84581370818037,255.00803420797016,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-22,0.0235306021585417,0.07844854776687603,0.12368654939995503,241.1,245.165,239.65,242.58,242.58,31933951.0,239.51266666666663,239.51266666666663,240.84581370818037,255.00803420797016,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-21,0.07624029187626104,0.07924356331332709,0.12603658204879806,241.1,245.165,239.65,242.58,242.58,31933951.0,239.51266666666663,239.51266666666663,240.84581370818037,255.00803420797016,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-20,0.042415852380605655,0.08240983929452483,0.1258157826526497,234.855,240.74,234.51,240.22,240.22,35389809.0,239.57233333333332,239.57233333333332,241.06487356957223,255.3381168535905,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-19,0.04026189454877801,0.09590598963954852,0.12838994461709305,233.78,235.52,230.68,231.93,231.93,28623033.0,239.73566666666665,239.73566666666665,241.3360532032507,255.70029929019307,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-18,0.08782672215366213,0.11142349415839867,0.1297789980938117,241.565,242.38,235.52,235.81,235.81,30028692.0,240.34466666666668,240.34466666666668,241.79743100119632,256.07638555565825,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-17,0.14497739381215882,0.12452547309928917,0.13052372492537428,237.97,240.91,237.09,240.35,240.35,29831257.0,240.985,240.985,242.1894946371849,256.42756258689604,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-16,0.13388707743812478,0.12207416809687777,0.13018164591301298,237.97,240.91,237.09,240.35,240.35,29831257.0,240.985,240.985,242.1894946371849,256.42756258689604,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-15,0.02909571098369924,0.12151787620195335,0.12559103723242712,237.97,240.91,237.09,240.35,240.35,29831257.0,240.985,240.985,242.1894946371849,256.42756258689604,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-14,0.0984042237446452,0.14455113101214007,0.12906363973806415,237.97,240.91,237.09,240.35,240.35,29831257.0,240.985,240.985,242.1894946371849,256.42756258689604,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-13,0.1368889047957715,0.14098396503000934,0.12828329581393633,237.002,239.37,234.92,239.23,239.23,21333265.0,241.463,241.463,242.54264003960236,256.7835857892712,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-12,0.1488844261807289,0.1404690295511695,0.131191633880622,235.26,239.9,233.56,238.51,238.51,27269486.0,241.9933333333333,241.9933333333333,242.9200486943608,257.15290206646847,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
