,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2023-01-25,234.48,243.3,230.9,240.61,240.61,66526641,0.0,1.0,239.17366666666666,239.17366666666666,240.44262511447548,254.43900171223595,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-24,242.5,243.95,240.44,242.04,242.04,40234444,0.0,1.0,239.33399999999997,239.33399999999997,240.64389045006396,254.73173362136677,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-23,241.1,245.165,239.65,242.58,242.58,31933951,0.0,1.0,239.51266666666666,239.51266666666666,240.84581370818034,255.00803420797018,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-20,234.855,240.74,234.51,240.22,240.22,35389809,0.0,1.0,239.57233333333335,239.57233333333335,241.06487356957223,255.33811685359046,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-19,233.78,235.52,230.68,231.93,231.93,28623033,0.0,1.0,239.73566666666665,239.73566666666665,241.3360532032507,255.70029929019307,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-18,241.565,242.38,235.52,235.81,235.81,30028692,0.0,1.0,240.34466666666668,240.34466666666668,241.79743100119632,256.07638555565825,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-17,237.97,240.91,237.09,240.35,240.35,29831257,0.0,1.0,240.985,240.985,242.18949463718494,256.42756258689604,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-13,237.002,239.37,234.92,239.23,239.23,21333265,0.0,1.0,241.463,241.463,242.54264003960233,256.78358578927117,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-12,235.26,239.9,233.56,238.51,238.51,27269486,0.0,1.0,241.99333333333334,241.99333333333334,242.92004869436082,257.15290206646847,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
2023-01-11,231.29,235.95,231.11,235.77,235.77,28669331,0.0,1.0,242.054,242.054,243.3884217152758,257.5024413227546,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865
