time,open,high,low,close,adjusted_close,volume,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low,sentiment,weekly_sentiment,monthly_sentiment
2023-02-05,244.51,245.6,242.2,256.77,256.77,25867365.0,238.24766666666667,238.24766666666667,240.155816748484,253.8436435586617,248.16,222.31,257.22,213.648993440865,339.886189703787,213.648993440865,0.1553210715591866,0.1225686772449494,0.12061010253655785
2023-01-29,241.1,245.165,239.65,242.71,242.71,31933951.0,239.51266666666663,239.51266666666663,240.84581370818037,255.00803420797016,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865,0.1634321363720171,0.08266927047171778,0.12618564237089672
2023-01-22,237.97,240.91,237.09,242.58,242.58,29831257.0,240.985,240.985,242.1894946371849,256.42756258689604,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865,0.13388707743812478,0.12207416809687775,0.13018164591301296
2023-01-15,226.45,231.2366,226.41,240.35,240.35,27369784.0,242.875,242.875,244.5408099624603,258.1959200423733,257.22,222.31,257.22,213.648993440865,339.886189703787,213.648993440865,0.12999303417365404,0.1388284175010676,0.12516773768042158
2023-01-08,243.08,245.75,237.4,227.12,227.12,25740036.0,245.289,245.289,247.09995239572257,259.6501336175521,257.22,234.53,257.22,213.648993440865,339.886189703787,213.648993440865,0.26166545347594594,0.18089272746131876,0.12028021688788613
2023-01-01,238.7,238.93,235.83,239.58,239.58,16688648.0,245.64345489047489,245.64345489047489,248.8415923847351,260.5990812852352,257.22,236.96,257.22,213.648993440865,339.886189703787,213.648993440865,0.13727501694929242,0.08114266220481156,0.11681903486993334
2022-12-25,244.86,245.21,238.71,236.96,236.96,29696436.0,244.5749281657797,244.5749281657797,250.76848660537763,261.5913874003514,257.22,223.880212449981,265.902002805165,213.648993440865,339.886189703787,213.648993440865,0.11016852710054012,0.12705744651811005,0.12931925286300955
2022-12-18,247.445,252.54,247.17,240.45,240.45,30665069.0,240.062238961539,240.062238961539,251.38318901232387,262.69414368750654,255.14,213.648993440865,265.902002805165,213.648993440865,339.886189703787,213.648993440865,0.14642462639989506,0.09821655310800947,0.138667837846724
2022-12-11,252.01,253.819,248.06,252.51,252.51,23435294.0,238.51846110583995,238.51846110583995,251.94720856140117,263.7059711642884,255.14,213.648993440865,267.337963367848,213.648993440865,339.886189703787,213.648993440865,0.10606233232932917,0.16757377239730173,0.1341363355943758
2022-12-04,246.08,246.65,240.8,250.2,250.2,24810271.0,236.2537833010189,236.2537833010189,252.256172780172,264.769258929276,249.956857390372,213.648993440865,285.347302091498,213.648993440865,339.886189703787,213.648993440865,0.08945553810664948,0.10665963311596253,0.13031939083328228
2022-11-27,241.43,244.67,241.19,241.76,241.76,26394700.0,233.90498968689408,233.90498968689408,252.9559354254635,265.8981865219997,249.956857390372,213.648993440865,292.02526730433,213.648993440865,339.886189703787,213.648993440865,0.1905072495030981,0.17049065240812447,0.12393040326903354
2022-11-20,241.985,243.91,239.21,242.05,242.05,31123340.0,233.8049602464144,233.8049602464144,253.87352172117585,267.4879139791792,249.956857390372,213.648993440865,292.02526730433,213.648993440865,339.886189703787,213.648993440865,0.13749244641990024,0.12318068910551694,0.1106728278255701
2022-11-13,221.99,228.41,221.28,241.55,240.872412441731,33497979.0,233.9246236266381,233.9246236266381,254.57811577709808,268.957801277408,249.956857390372,213.648993440865,292.02526730433,213.648993440865,339.886189703787,213.648993440865,0.08811025661038255,0.10732655802634228,0.11588914349893212
2022-11-06,233.76,234.92,231.15,227.87,227.230787096242,28357265.0,236.78225162603303,236.78225162603303,255.9925567427064,270.9124272451194,249.956857390372,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658,0.1643221575905155,0.08636958095332002,0.12432645252450834
2022-10-30,243.76,247.84,241.295,232.13,231.478837094179,24911212.0,238.84710973144675,238.84710973144675,257.7540982082736,272.803495430358,248.500952930985,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658,0.1452005046144264,0.12093634263191647,0.13802771309307352
2022-10-23,235.82,238.96,235.135,247.25,246.556423002351,28142268.0,242.1867152345201,242.1867152345201,259.1760140157482,274.8929412768295,265.902002805165,224.777687801658,292.02526730433,224.777687801658,339.886189703787,224.777687801658,0.18276260653771179,0.13864164143283098,0.1482540571089482
