,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,260.53,268.775,260.08,267.56,267.56,50841365,0.0,1.0
2023-02-06,257.44,258.3,254.78,256.77,256.77,22517997,0.0,1.0
2023-02-03,259.542,264.2,257.1,258.35,258.35,29077256,0.0,1.0
2023-02-02,258.82,264.69,257.25,264.6,264.6,39940437,0.0,1.0
2023-02-01,248.0,255.18,245.47,252.75,252.75,31259912,0.0,1.0
2023-01-31,243.45,247.95,242.945,247.81,247.81,26541072,0.0,1.0
2023-01-30,244.51,245.6,242.2,242.71,242.71,25867365,0.0,1.0
2023-01-27,248.99,249.83,246.83,248.16,248.16,26498939,0.0,1.0
2023-01-26,243.65,248.31,242.0,248.0,248.0,33454491,0.0,1.0
2023-01-25,234.48,243.3,230.9,240.61,240.61,66526641,0.0,1.0
2023-01-24,242.5,243.95,240.44,242.04,242.04,40234444,0.0,1.0
2023-01-23,241.1,245.165,239.65,242.58,242.58,31933951,0.0,1.0
2023-01-20,234.855,240.74,234.51,240.22,240.22,35389809,0.0,1.0
2023-01-19,233.78,235.52,230.68,231.93,231.93,28623033,0.0,1.0
2023-01-18,241.565,242.38,235.52,235.81,235.81,30028692,0.0,1.0
2023-01-17,237.97,240.91,237.09,240.35,240.35,29831257,0.0,1.0
2023-01-13,237.002,239.37,234.92,239.23,239.23,21333265,0.0,1.0
2023-01-12,235.26,239.9,233.56,238.51,238.51,27269486,0.0,1.0
2023-01-11,231.29,235.95,231.11,235.77,235.77,28669331,0.0,1.0
2023-01-10,227.755,231.31,227.33,228.85,228.85,27033881,0.0,1.0
2023-01-09,226.45,231.2366,226.41,227.12,227.12,27369784,0.0,1.0
2023-01-06,223.0,225.7601,219.35,224.93,224.93,43613574,0.0,1.0
2023-01-05,227.2,227.55,221.7602,222.31,222.31,39585623,0.0,1.0
2023-01-04,232.275,232.87,225.96,229.1,229.1,50623394,0.0,1.0
2023-01-03,243.08,245.75,237.4,239.58,239.58,25740036,0.0,1.0
2022-12-30,238.21,239.96,236.66,239.82,239.82,21938472,0.0,1.0
2022-12-29,235.65,241.92,235.65,241.01,241.01,19770693,0.0,1.0
2022-12-28,236.89,239.72,234.17,234.53,234.53,17457104,0.0,1.0
2022-12-27,238.7,238.93,235.83,236.96,236.96,16688648,0.0,1.0
2022-12-23,236.11,238.87,233.9428,238.73,238.73,21206982,0.0,1.0
2022-12-22,241.255,241.99,233.87,238.19,238.19,28651664,0.0,1.0
2022-12-21,241.69,245.615,240.11,244.43,244.43,23690607,0.0,1.0
2022-12-20,239.4,242.91,238.42,241.8,241.8,25150802,0.0,1.0
2022-12-19,244.86,245.21,238.71,240.45,240.45,29696436,0.0,1.0
2022-12-16,248.55,249.84,243.51,244.69,244.69,86101994,0.0,1.0
2022-12-15,253.72,254.2,247.34,249.01,249.01,35568093,0.0,1.0
2022-12-14,257.13,262.588,254.31,257.22,257.22,35410933,0.0,1.0
2022-12-13,261.69,263.915,253.07,256.92,256.92,42196884,0.0,1.0
2022-12-12,247.445,252.54,247.17,252.51,252.51,30665069,0.0,1.0
2022-12-09,244.695,248.31,244.16,245.42,245.42,20609743,0.0,1.0
2022-12-08,244.84,248.74,243.06,247.4,247.4,22611757,0.0,1.0
2022-12-07,244.83,246.16,242.205,244.37,244.37,20481522,0.0,1.0
2022-12-06,250.82,251.86,243.78,245.12,245.12,22463727,0.0,1.0
2022-12-05,252.01,253.819,248.06,250.2,250.2,23435294,0.0,1.0
2022-12-02,249.82,256.06,249.69,255.02,255.02,21528520,0.0,1.0
2022-12-01,253.87,256.12,250.9156,254.69,254.69,26041524,0.0,1.0
2022-11-30,240.57,255.33,239.86,255.14,255.14,47594239,0.0,1.0
